,dim_hidden,seed,error_mean,error_var,mc_error_mean,bound
11,4000,1,0.0095849,,0.0076106903,"[6.00559216 0.18886902 0.1335836  0.10907955 0.09446956 0.08449823
 0.07713725 0.07141606 0.0668042  0.06298403 0.05975223 0.05697177
 0.05454652 0.05240677 0.05050056 0.0487883  0.04723916 0.0458288
 0.04453766 0.04334984 0.04225225 0.04123402 0.04028603 0.03940056
 0.03857101 0.03779175 0.03705789 0.03636518 0.03570992 0.03508885
 0.0344991  0.03393812 0.03340365 0.03289365 0.03240633 0.03194004
 0.03149332 0.03106483 0.03065336 0.03025783 0.02987722 0.02951063
 0.0291572  0.02881618 0.02848685 0.02816856 0.0278607  0.02756272
 0.0272741  0.02699437 0.02672307 0.02645978 0.02620413 0.02595575
 0.0257143  0.02547947 0.02525095 0.02502848 0.02481178 0.02460061
 0.02439475 0.02419397 0.02399807 0.02380685 0.02362013 0.02343773
 0.0232595  0.02308527 0.0229149  0.02274825 0.02258518 0.02242557
 0.02226929 0.02211624 0.0219663  0.02181936 0.02167534 0.02153414
 0.02139565 0.02125981 0.02112652 0.0209957  0.02086729 0.0207412
 0.02061738 0.02049574 0.02037623 0.02025879 0.02014336 0.02002987
 0.01991829 0.01980854 0.0197006  0.01959439 0.01948989 0.01938704
 0.0192858  0.01918614 0.019088   0.01899135]"
12,8000,0,0.016035171,,0.0077297958,"[6.00559216 0.18886902 0.1335836  0.10907955 0.09446956 0.08449823
 0.07713725 0.07141606 0.0668042  0.06298403 0.05975223 0.05697177
 0.05454652 0.05240677 0.05050056 0.0487883  0.04723916 0.0458288
 0.04453766 0.04334984 0.04225225 0.04123402 0.04028603 0.03940056
 0.03857101 0.03779175 0.03705789 0.03636518 0.03570992 0.03508885
 0.0344991  0.03393812 0.03340365 0.03289365 0.03240633 0.03194004
 0.03149332 0.03106483 0.03065336 0.03025783 0.02987722 0.02951063
 0.0291572  0.02881618 0.02848685 0.02816856 0.0278607  0.02756272
 0.0272741  0.02699437 0.02672307 0.02645978 0.02620413 0.02595575
 0.0257143  0.02547947 0.02525095 0.02502848 0.02481178 0.02460061
 0.02439475 0.02419397 0.02399807 0.02380685 0.02362013 0.02343773
 0.0232595  0.02308527 0.0229149  0.02274825 0.02258518 0.02242557
 0.02226929 0.02211624 0.0219663  0.02181936 0.02167534 0.02153414
 0.02139565 0.02125981 0.02112652 0.0209957  0.02086729 0.0207412
 0.02061738 0.02049574 0.02037623 0.02025879 0.02014336 0.02002987
 0.01991829 0.01980854 0.0197006  0.01959439 0.01948989 0.01938704
 0.0192858  0.01918614 0.019088   0.01899135]"
13,8000,1,0.016192181,,0.0077301636,"[6.00559216 0.18886902 0.1335836  0.10907955 0.09446956 0.08449823
 0.07713725 0.07141606 0.0668042  0.06298403 0.05975223 0.05697177
 0.05454652 0.05240677 0.05050056 0.0487883  0.04723916 0.0458288
 0.04453766 0.04334984 0.04225225 0.04123402 0.04028603 0.03940056
 0.03857101 0.03779175 0.03705789 0.03636518 0.03570992 0.03508885
 0.0344991  0.03393812 0.03340365 0.03289365 0.03240633 0.03194004
 0.03149332 0.03106483 0.03065336 0.03025783 0.02987722 0.02951063
 0.0291572  0.02881618 0.02848685 0.02816856 0.0278607  0.02756272
 0.0272741  0.02699437 0.02672307 0.02645978 0.02620413 0.02595575
 0.0257143  0.02547947 0.02525095 0.02502848 0.02481178 0.02460061
 0.02439475 0.02419397 0.02399807 0.02380685 0.02362013 0.02343773
 0.0232595  0.02308527 0.0229149  0.02274825 0.02258518 0.02242557
 0.02226929 0.02211624 0.0219663  0.02181936 0.02167534 0.02153414
 0.02139565 0.02125981 0.02112652 0.0209957  0.02086729 0.0207412
 0.02061738 0.02049574 0.02037623 0.02025879 0.02014336 0.02002987
 0.01991829 0.01980854 0.0197006  0.01959439 0.01948989 0.01938704
 0.0192858  0.01918614 0.019088   0.01899135]"
14,16000,0,0.0093937805,,0.0076781,"[6.00559216 0.18886902 0.1335836  0.10907955 0.09446956 0.08449823
 0.07713725 0.07141606 0.0668042  0.06298403 0.05975223 0.05697177
 0.05454652 0.05240677 0.05050056 0.0487883  0.04723916 0.0458288
 0.04453766 0.04334984 0.04225225 0.04123402 0.04028603 0.03940056
 0.03857101 0.03779175 0.03705789 0.03636518 0.03570992 0.03508885
 0.0344991  0.03393812 0.03340365 0.03289365 0.03240633 0.03194004
 0.03149332 0.03106483 0.03065336 0.03025783 0.02987722 0.02951063
 0.0291572  0.02881618 0.02848685 0.02816856 0.0278607  0.02756272
 0.0272741  0.02699437 0.02672307 0.02645978 0.02620413 0.02595575
 0.0257143  0.02547947 0.02525095 0.02502848 0.02481178 0.02460061
 0.02439475 0.02419397 0.02399807 0.02380685 0.02362013 0.02343773
 0.0232595  0.02308527 0.0229149  0.02274825 0.02258518 0.02242557
 0.02226929 0.02211624 0.0219663  0.02181936 0.02167534 0.02153414
 0.02139565 0.02125981 0.02112652 0.0209957  0.02086729 0.0207412
 0.02061738 0.02049574 0.02037623 0.02025879 0.02014336 0.02002987
 0.01991829 0.01980854 0.0197006  0.01959439 0.01948989 0.01938704
 0.0192858  0.01918614 0.019088   0.01899135]"
15,16000,1,0.0093547935,,0.0076790354,"[6.00559216 0.18886902 0.1335836  0.10907955 0.09446956 0.08449823
 0.07713725 0.07141606 0.0668042  0.06298403 0.05975223 0.05697177
 0.05454652 0.05240677 0.05050056 0.0487883  0.04723916 0.0458288
 0.04453766 0.04334984 0.04225225 0.04123402 0.04028603 0.03940056
 0.03857101 0.03779175 0.03705789 0.03636518 0.03570992 0.03508885
 0.0344991  0.03393812 0.03340365 0.03289365 0.03240633 0.03194004
 0.03149332 0.03106483 0.03065336 0.03025783 0.02987722 0.02951063
 0.0291572  0.02881618 0.02848685 0.02816856 0.0278607  0.02756272
 0.0272741  0.02699437 0.02672307 0.02645978 0.02620413 0.02595575
 0.0257143  0.02547947 0.02525095 0.02502848 0.02481178 0.02460061
 0.02439475 0.02419397 0.02399807 0.02380685 0.02362013 0.02343773
 0.0232595  0.02308527 0.0229149  0.02274825 0.02258518 0.02242557
 0.02226929 0.02211624 0.0219663  0.02181936 0.02167534 0.02153414
 0.02139565 0.02125981 0.02112652 0.0209957  0.02086729 0.0207412
 0.02061738 0.02049574 0.02037623 0.02025879 0.02014336 0.02002987
 0.01991829 0.01980854 0.0197006  0.01959439 0.01948989 0.01938704
 0.0192858  0.01918614 0.019088   0.01899135]"
16,32000,0,0.009749102,,0.0077470792,"[6.00559216 0.18886902 0.1335836  0.10907955 0.09446956 0.08449823
 0.07713725 0.07141606 0.0668042  0.06298403 0.05975223 0.05697177
 0.05454652 0.05240677 0.05050056 0.0487883  0.04723916 0.0458288
 0.04453766 0.04334984 0.04225225 0.04123402 0.04028603 0.03940056
 0.03857101 0.03779175 0.03705789 0.03636518 0.03570992 0.03508885
 0.0344991  0.03393812 0.03340365 0.03289365 0.03240633 0.03194004
 0.03149332 0.03106483 0.03065336 0.03025783 0.02987722 0.02951063
 0.0291572  0.02881618 0.02848685 0.02816856 0.0278607  0.02756272
 0.0272741  0.02699437 0.02672307 0.02645978 0.02620413 0.02595575
 0.0257143  0.02547947 0.02525095 0.02502848 0.02481178 0.02460061
 0.02439475 0.02419397 0.02399807 0.02380685 0.02362013 0.02343773
 0.0232595  0.02308527 0.0229149  0.02274825 0.02258518 0.02242557
 0.02226929 0.02211624 0.0219663  0.02181936 0.02167534 0.02153414
 0.02139565 0.02125981 0.02112652 0.0209957  0.02086729 0.0207412
 0.02061738 0.02049574 0.02037623 0.02025879 0.02014336 0.02002987
 0.01991829 0.01980854 0.0197006  0.01959439 0.01948989 0.01938704
 0.0192858  0.01918614 0.019088   0.01899135]"
17,32000,1,0.00963417,,0.0077457298,"[6.00559216 0.18886902 0.1335836  0.10907955 0.09446956 0.08449823
 0.07713725 0.07141606 0.0668042  0.06298403 0.05975223 0.05697177
 0.05454652 0.05240677 0.05050056 0.0487883  0.04723916 0.0458288
 0.04453766 0.04334984 0.04225225 0.04123402 0.04028603 0.03940056
 0.03857101 0.03779175 0.03705789 0.03636518 0.03570992 0.03508885
 0.0344991  0.03393812 0.03340365 0.03289365 0.03240633 0.03194004
 0.03149332 0.03106483 0.03065336 0.03025783 0.02987722 0.02951063
 0.0291572  0.02881618 0.02848685 0.02816856 0.0278607  0.02756272
 0.0272741  0.02699437 0.02672307 0.02645978 0.02620413 0.02595575
 0.0257143  0.02547947 0.02525095 0.02502848 0.02481178 0.02460061
 0.02439475 0.02419397 0.02399807 0.02380685 0.02362013 0.02343773
 0.0232595  0.02308527 0.0229149  0.02274825 0.02258518 0.02242557
 0.02226929 0.02211624 0.0219663  0.02181936 0.02167534 0.02153414
 0.02139565 0.02125981 0.02112652 0.0209957  0.02086729 0.0207412
 0.02061738 0.02049574 0.02037623 0.02025879 0.02014336 0.02002987
 0.01991829 0.01980854 0.0197006  0.01959439 0.01948989 0.01938704
 0.0192858  0.01918614 0.019088   0.01899135]"
18,64000,0,0.01551868,,0.0077148774,"[6.00559216 0.18886902 0.1335836  0.10907955 0.09446956 0.08449823
 0.07713725 0.07141606 0.0668042  0.06298403 0.05975223 0.05697177
 0.05454652 0.05240677 0.05050056 0.0487883  0.04723916 0.0458288
 0.04453766 0.04334984 0.04225225 0.04123402 0.04028603 0.03940056
 0.03857101 0.03779175 0.03705789 0.03636518 0.03570992 0.03508885
 0.0344991  0.03393812 0.03340365 0.03289365 0.03240633 0.03194004
 0.03149332 0.03106483 0.03065336 0.03025783 0.02987722 0.02951063
 0.0291572  0.02881618 0.02848685 0.02816856 0.0278607  0.02756272
 0.0272741  0.02699437 0.02672307 0.02645978 0.02620413 0.02595575
 0.0257143  0.02547947 0.02525095 0.02502848 0.02481178 0.02460061
 0.02439475 0.02419397 0.02399807 0.02380685 0.02362013 0.02343773
 0.0232595  0.02308527 0.0229149  0.02274825 0.02258518 0.02242557
 0.02226929 0.02211624 0.0219663  0.02181936 0.02167534 0.02153414
 0.02139565 0.02125981 0.02112652 0.0209957  0.02086729 0.0207412
 0.02061738 0.02049574 0.02037623 0.02025879 0.02014336 0.02002987
 0.01991829 0.01980854 0.0197006  0.01959439 0.01948989 0.01938704
 0.0192858  0.01918614 0.019088   0.01899135]"
19,64000,1,0.01554951,,0.007714359,"[6.00559216 0.18886902 0.1335836  0.10907955 0.09446956 0.08449823
 0.07713725 0.07141606 0.0668042  0.06298403 0.05975223 0.05697177
 0.05454652 0.05240677 0.05050056 0.0487883  0.04723916 0.0458288
 0.04453766 0.04334984 0.04225225 0.04123402 0.04028603 0.03940056
 0.03857101 0.03779175 0.03705789 0.03636518 0.03570992 0.03508885
 0.0344991  0.03393812 0.03340365 0.03289365 0.03240633 0.03194004
 0.03149332 0.03106483 0.03065336 0.03025783 0.02987722 0.02951063
 0.0291572  0.02881618 0.02848685 0.02816856 0.0278607  0.02756272
 0.0272741  0.02699437 0.02672307 0.02645978 0.02620413 0.02595575
 0.0257143  0.02547947 0.02525095 0.02502848 0.02481178 0.02460061
 0.02439475 0.02419397 0.02399807 0.02380685 0.02362013 0.02343773
 0.0232595  0.02308527 0.0229149  0.02274825 0.02258518 0.02242557
 0.02226929 0.02211624 0.0219663  0.02181936 0.02167534 0.02153414
 0.02139565 0.02125981 0.02112652 0.0209957  0.02086729 0.0207412
 0.02061738 0.02049574 0.02037623 0.02025879 0.02014336 0.02002987
 0.01991829 0.01980854 0.0197006  0.01959439 0.01948989 0.01938704
 0.0192858  0.01918614 0.019088   0.01899135]"
20,128000,0,0.012103237,,0.007721468,"[6.00559216 0.18886902 0.1335836  0.10907955 0.09446956 0.08449823
 0.07713725 0.07141606 0.0668042  0.06298403 0.05975223 0.05697177
 0.05454652 0.05240677 0.05050056 0.0487883  0.04723916 0.0458288
 0.04453766 0.04334984 0.04225225 0.04123402 0.04028603 0.03940056
 0.03857101 0.03779175 0.03705789 0.03636518 0.03570992 0.03508885
 0.0344991  0.03393812 0.03340365 0.03289365 0.03240633 0.03194004
 0.03149332 0.03106483 0.03065336 0.03025783 0.02987722 0.02951063
 0.0291572  0.02881618 0.02848685 0.02816856 0.0278607  0.02756272
 0.0272741  0.02699437 0.02672307 0.02645978 0.02620413 0.02595575
 0.0257143  0.02547947 0.02525095 0.02502848 0.02481178 0.02460061
 0.02439475 0.02419397 0.02399807 0.02380685 0.02362013 0.02343773
 0.0232595  0.02308527 0.0229149  0.02274825 0.02258518 0.02242557
 0.02226929 0.02211624 0.0219663  0.02181936 0.02167534 0.02153414
 0.02139565 0.02125981 0.02112652 0.0209957  0.02086729 0.0207412
 0.02061738 0.02049574 0.02037623 0.02025879 0.02014336 0.02002987
 0.01991829 0.01980854 0.0197006  0.01959439 0.01948989 0.01938704
 0.0192858  0.01918614 0.019088   0.01899135]"
